job	names	algorithm	dim	vocab_size	baseline	binary_precision	binary_recall	binary_f1	precision	recall	f1	dropout	recurrent_dropout
714781	norec.100.sg.bin	fastText Skipgram	300	81345	1	0.6774	0.0165	0.0323	0.6129	0.015	0.0292	0.01	0.01
714785	norec.300.sg.bin	fastText Skipgram	300	81345	1	0.8378	0.0244	0.0474	0.7838	0.0228	0.0444	0.01	0.01
714787	norec.100.cbow.bin	fastText cbow	100	81345	1	0.8235	0.0331	0.0636	0.6667	0.0268	0.0515	0.01	0.01
714786	norec.300.cbow.bin	fastText cbow	300	81345	1	0.7627	0.0354	0.0677	0.661	0.0307	0.0587	0.01	0.01
717137	cc.no.300.bin	fastText cbow	300	2000000	1	0.6731	0.0276	0.053	0.5	0.0205	0.0393	0.01	0.01
716419	110.zip	fastText cbow	100	4428648	1	0.6786	0.015	0.0293	0.6071	0.0134	0.0262	0.01	0.01
718821	58.zip	Word2Vec Skipgram	100	1182371	1	1.0	0.0024	0.0047	1.0	0.0024	0.0047	0.01	0.01
718885	58.zip	Word2Vec Skipgram	100	1182371	0	1.0	0.0024	0.0047	1.0	0.0024	0.0047	0.01	0.01
716423	114.zip	fastText cbow	100	1728101	1	0.7391	0.0268	0.0517	0.6304	0.0228	0.0441	0.01	0.01
716422	122.zip	fastText Skipgram	100	1728101	1	0.7333	0.026	0.0502	0.5778	0.0205	0.0395	0.01	0.01
716420	120.zip	fastText Skipgram	100	2551820	1	0.8095	0.0268	0.0518	0.5476	0.0181	0.01	0.01
716421	122.zip	fastText Skipgram	100	1728101	1	0.7917	0.015	0.0294	0.75	0.0142	0.01	0.01
719381	92.zip	Gensim cbow	100	2551819	100	0	0.7449	0.0574	0.1066	0.6224	0.048	0.0891	0.01	0.5
719382	92.zip	Gensim cbow	100	2551819	100	0	0.8333	0.0079	0.0156	0.8333	0.0079	0.0156	0.8	0.5

